state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,total_crime_rate,log_total_crime_rate
AR,2020,2929450,0.702,0.148,0.0805,0.015,0.005,0.004,0.046,50780,0.141,0.062,0.013999999999999999,0.573,0.882,0.249,154522.835,19.6,10.5,6632.0,1348.0,11353.0,11689.0,220.02,44.72,376.63,387.78,54166.666666666664,458.25,158166.66666666666,31022.0,1029.15,6.937459701688468
AR,2019,2922500,0.721,0.152,0.078,0.016,0.006,0.004,0.024,54540,0.141,0.035,0.01,0.581,0.875,0.233,145709.227,21.9,8.0,7783.0,1303.0,12223.0,12191.0,258.45,43.27,405.88,404.81,46000.0,456.0,151000.0,33500.0,1112.4099999999999,7.015182657207188
AR,2018,2921300,0.722,0.15,0.077,0.015,0.01,0.01,0.027,49780,0.159,0.037000000000000005,0.012,0.579,0.872,0.233,140198.8967,16.3,9.8,8729.0,1549.0,13266.0,12532.0,289.86,51.44,440.52,416.14,54000.0,470.0,171000.0,36076.0,1197.96,7.089209793336741
AR,2017,2910000,0.725,0.149,0.076,0.017,0.01,0.01,0.027,48830,0.14800000000000002,0.037000000000000005,0.013000000000000001,0.583,0.867,0.23399999999999999,135134.5919,22.4,9.7,8688.0,1477.0,13350.0,12154.0,288.5,49.05,443.3,403.59,54000.0,442.0,156000.0,35669.0,1184.44,7.077869292668347
AR,2016,2895400,0.73,0.153,0.073,0.014,0.01,0.01,0.022,45910,0.16,0.04,0.017,0.581,0.86,0.22399999999999998,130786.0634,15.4,7.5,8388.0,1533.0,14979.0,13182.0,278.53,50.9,497.4,437.72,57000.0,465.0,165000.0,38082.0,1264.55,7.143262089279745
CA,2022,38187000,0.337,0.051,0.404,0.153,0.002,0.003,0.049,85300,0.11199999999999999,0.043,0.024,0.618,0.847,0.37,738501.98,8.8,14.9,15067.0,2955.0,19680.0,31248.0,38.59,7.57,50.41,80.04,522000.0,9572.5,1278000.0,68950.0,176.61,5.179590135279236
CA,2021,38379200,0.342,0.051,0.403,0.151,0.002,0.003,0.047,81580,0.11900000000000001,0.073,0.049,0.611,0.8440000000000001,0.36200000000000004,650386.5632,9.9,18.9,8335.0,1423.0,10018.0,16248.0,21.29,3.63,25.59,41.5,570000.0,9572.5,1363000.0,36024.0,92.00999999999999,4.532707014254376
CO,2022,5695100,0.65,0.036,0.226,0.031,0.004,0.001,0.052,89930,0.081,0.031,0.013000000000000001,0.682,0.93,0.45899999999999996,546611.9753,19.2,20.4,6716.0,1877.0,15521.0,13420.0,114.98,32.13,265.72,229.75,60000.0,1472.0,133000.0,37534.0,642.58,6.467046339433395
CO,2021,5664200,0.653,0.036,0.222,0.031,0.003,0.002,0.053,84950,0.079,0.055,0.028999999999999998,0.6809999999999999,0.924,0.444,475613.7751,24.6,25.3,6058.0,1957.0,15308.0,13459.0,104.24,33.67,263.4,231.59,73000.0,1472.0,145000.0,36782.0,632.9,6.4518912132901205
CO,2020,5638000,0.6655,0.037,0.22,0.0315,0.004,0.0015,0.0405,83780,0.095,0.068,0.013999999999999999,0.6729999999999999,0.927,0.442,411694.4001,26.4,22.6,6131.0,2138.0,16085.0,12092.0,105.98,36.96,278.04,209.01,63500.0,1472.0,146166.66666666666,36446.0,629.99,6.4472900145550955
