year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,crimes_against_society,fraud_and_other_financial_crimes,property_crime,violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,log_total_crime_count,youth_school_poverty_interaction,poverty_income_interaction,unemployment_youth_interaction,poverty_rate_squared,median_income_squared,poverty_to_income_ratio,youth_to_total_pop_ratio,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
2021,7107300,0.521,0.041,0.324,0.033,0.033,0.002,0.047,70820,0.126,0.051,0.031,0.613,0.89,0.324,363213.0556,20.0,30.9,2703.5,295.5,3243.5,4018.5,105000.0,1627.5,275000.0,10261.0,9.23620303150191,13230.0,8923.32,5355.0,0.015876,5015472400,1.7791333079171432e-06,0.014773540616895219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7102650,0.5315000000000001,0.0419999999999999,0.321,0.033,0.036,0.002,0.0355,67090,0.109,0.078,0.018,0.614,0.8909999999999999,0.33,293697.0823,19.0,37.6,1966.0,132.5,1609.0,1675.0,109666.66666666669,1627.5,311000.0,5382.5,8.591093999255772,11953.666666666668,7312.81,8554.000000000002,0.011881,4501068100,1.6246590451774456e-06,0.015440244306902688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7098000,0.542,0.043,0.318,0.033,0.039,0.002,0.024,70670,0.099,0.048,0.016,0.62,0.8759999999999999,0.302,267616.8857,15.7,27.2,692.0,49.5,621.5,500.5,106000.0,1496.0,308000.0,1863.5,7.530748199618875,10494.0,6996.33,5088.0,0.009801,4994248900,1.400857494587596e-06,0.01493378206061115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,7004300,0.545,0.042,0.316,0.032,0.039,0.01,0.024,62280,0.128,0.048,0.017,0.612,0.875,0.297,250544.9546,20.2,21.8,693.5,51.5,613.0,495.5,116000.0,1570.0,325000.0,1853.5,7.525370396929645,14848.0,7971.84,5568.0,0.016384,3878798400,2.0552014257959893e-06,0.016561252864489975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,6841300,0.55,0.04,0.313,0.032,0.038,0.01,0.025,61130,0.132,0.05,0.018,0.606,0.872,0.294,232765.8344,17.1,15.1,839.5,71.0,687.0,470.0,109000.0,1659.0,332000.0,2067.5,7.634578985901467,14388.0,8069.160000000001,5450.0,0.017424000000000002,3736876900,2.1592972468960103e-06,0.015932642051563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,6760900,0.555,0.04,0.309,0.032,0.04,0.01,0.023,57100,0.161,0.055,0.019,0.604,0.867,0.289,217921.8948,16.0,15.0,707.5,48.5,657.5,449.5,114000.0,1785.0,379000.0,1863.0,7.530479995245536,18354.0,9193.1,6270.0,0.025921000000000003,3260410000,2.819565331605401e-06,0.016861657935828375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2952900,0.677,0.141,0.085,0.015,0.004,0.004,0.074,53980,0.166,0.032,0.013,0.573,0.8909999999999999,0.254,194822.9277,14.2,10.6,3028.0,525.5,4961.0,5918.5,58000.0,458.25,151000.0,14433.0,9.577341813632218,9628.0,8960.68,1856.0,0.027556000000000004,2913840400,3.075156073433245e-06,0.01964170149964391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2936400,0.683,0.144,0.083,0.014,0.004,0.004,0.068,50780,0.168,0.04,0.022,0.565,0.887,0.253,174401.6205,16.7,9.7,3231.5,528.5,5140.5,6092.0,56000.0,458.25,155000.0,14992.5,9.615372052834992,9408.0,8531.04,2240.0,0.028224000000000003,2578608400,3.3083239794411297e-06,0.019070964762646518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2929450,0.702,0.148,0.0805,0.015,0.005,0.004,0.046,50780,0.141,0.062,0.0139999999999999,0.573,0.882,0.249,154522.835,19.6,10.5,3316.0,674.0,5676.5,5844.5,54166.666666666664,458.25,158166.66666666666,15511.0,9.649369196922487,7637.499999999999,7159.98,3358.333333333333,0.019880999999999996,2578608400,2.7766290541738048e-06,0.018490381531101448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2922500,0.721,0.152,0.078,0.016,0.006,0.004,0.024,54540,0.141,0.035,0.01,0.581,0.875,0.233,145709.227,21.9,8.0,3891.5,651.5,6111.5,6095.5,46000.0,456.0,151000.0,16750.0,9.726213236963687,6485.999999999999,7690.139999999999,1610.0000000000002,0.019880999999999996,2974611600,2.585211125575255e-06,0.015739943288299987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
