State,Offender Age,Data Year,Count:  Crimes Against Society,Count:  Fraud and Other Financial Crimes,Count:  Property Crime,Count:  Violent Crime,Rate:  Crimes Against Society,Rate:  Fraud and Other Financial Crimes,Rate:  Property Crime,Rate:  Violent Crime
IL,15-24,2020,346,63,1131,1228,2.71,0.49,8.84,9.6
IL,15-24,2021,6741,1501,12794,21120,53.12,11.83,100.82,166.42
IL,15-24,2022,9411,2339,20298,33879,74.79,18.59,161.32,269.26
IN,15-24,2016,1514,78,203,265,22.31,1.15,2.99,3.91
IN,15-24,2017,2146,168,787,913,31.63,2.48,11.6,13.45
IN,15-24,2018,2664,310,1632,2003,39.26,4.57,24.05,29.52
IN,15-24,2019,4807,729,5176,5578,70.84,10.74,76.28,82.2
IN,15-24,2020,8068,1368,8913,11082,118.84,20.15,131.29,163.23
IN,15-24,2021,11391,1513,9823,14324,167.17,22.2,144.17,210.22
IN,15-24,2022,10750,1892,9957,15088,157.35,27.7,145.74,220.83
KS,15-24,2016,7019,1705,10095,9075,238.92,58.03,343.62,308.9
KS,15-24,2017,7779,1621,9418,8740,264.79,55.18,320.57,297.5
KS,15-24,2018,7766,1446,9109,8897,264.34,49.22,310.06,302.84
KS,15-24,2019,7057,1304,8540,8784,240.21,44.39,290.69,299.0
KS,15-24,2020,7153,926,8502,8279,243.45,31.51,289.37,281.78
KS,15-24,2021,7609,949,7944,9566,258.99,32.31,270.4,325.61
KS,15-24,2022,7455,1196,7995,9310,253.86,40.73,272.24,317.03
KY,15-24,2016,10193,1825,15065,10872,226.2,40.5,334.31,241.26
KY,15-24,2017,10254,1861,13714,10283,227.55,41.29,304.33,228.19
KY,15-24,2018,9907,1699,11759,9609,219.85,37.71,260.95,213.23
KY,15-24,2019,8189,1469,10984,9258,181.73,32.6,243.75,205.45
KY,15-24,2020,6267,1065,9082,8512,139.01,23.62,201.46,188.82
KY,15-24,2021,6137,886,7530,8696,136.14,19.66,167.05,192.92
KY,15-24,2022,5661,896,6918,8224,125.47,19.86,153.34,182.29
LA,15-24,2016,2394,175,2992,2952,51.4,3.76,64.23,63.38
LA,15-24,2017,2443,166,3130,2849,52.45,3.57,67.2,61.16
LA,15-24,2018,2482,145,3396,3107,53.28,3.11,72.91,66.71
LA,15-24,2019,2440,116,2907,3004,52.38,2.49,62.41,64.49
LA,15-24,2020,3065,172,4300,4274,65.89,3.7,92.43,91.88
LA,15-24,2021,8774,577,9526,10517,189.62,12.47,205.87,227.29
LA,15-24,2022,9384,816,10200,10909,204.53,17.79,222.32,237.77
MA,15-24,2016,4204,1424,12353,13890,59.78,20.25,175.64,197.5
MA,15-24,2017,3731,1311,10791,13177,53.05,18.64,153.43,187.36
MA,15-24,2018,3319,1176,8598,12002,47.19,16.72,122.25,170.66
MA,15-24,2019,3002,1232,8093,12124,42.69,17.52,115.08,172.39
MA,15-24,2020,2641,1138,8041,11546,37.74,16.26,114.91,164.99
MA,15-24,2021,2833,997,7195,11985,40.51,14.26,102.9,171.41
