State,Year,Youth not in School,Youth in Foster_care,Youth living in poverty
OR,2018,53000,796,134000
OR,2017,54000,816,141000
OR,2016,55000,891,144000
PA,2022,146000,,394000
PA,2021,169000,,446000
PA,2019,138000,2624,435000
PA,2018,157000,2986,435000
PA,2017,169000,3095,444000
PA,2016,163000,3209,486000
RI,2022,11000,,23000
RI,2021,12000,,30000
RI,2019,12000,304,28000
RI,2018,13000,304,36000
RI,2017,11000,297,34000
RI,2016,11000,283,35000
SC,2022,77000,,211000
SC,2021,77000,,221000
SC,2019,73000,583,215000
SC,2018,77000,585,246000
SC,2017,74000,554,245000
SC,2016,74000,551,249000
SD,2022,10000,,32000
SD,2021,11000,,31000
SD,2019,10000,153,31000
SD,2018,10000,144,34000
SD,2017,10000,137,34000
SD,2016,10000,124,35000
TN,2022,96000,,266000
TN,2021,108000,,272000
TN,2019,89000,2077,291000
TN,2018,108000,2068,331000
TN,2017,101000,2206,315000
TN,2016,105000,2153,334000
TX,2022,486000,,1412000
TX,2021,508000,,1441000
TX,2019,434000,2957,1401000
TX,2018,462000,2907,1545000
TX,2017,477000,2855,1525000
TX,2016,479000,2860,1619000
UT,2022,45000,,78000
UT,2021,42000,,76000
UT,2019,39000,460,91000
UT,2018,34000,483,87000
UT,2017,42000,594,98000
UT,2016,42000,641,101000
VT,2022,6000,,13000
VT,2021,7000,,12000
VT,2019,5000,179,11000
VT,2018,6000,223,14000
VT,2017,6000,219,16000
VT,2016,8000,206,17000
VA,2022,106000,,234000
VA,2021,99000,,243000
VA,2019,83000,1003,245000
VA,2018,91000,1031,252000
VA,2017,94000,1055,258000
VA,2016,103000,984,262000
WA,2022,96000,,185000
WA,2021,100000,,198000
WA,2019,84000,1519,197000
WA,2018,89000,1480,204000
WA,2017,88000,1412,232000
WA,2016,99000,1362,220000
WV,2022,28000,,86000
WV,2021,31000,,73000
WV,2019,30000,927,70000
WV,2018,34000,904,87000
WV,2017,34000,904,94000
WV,2016,35000,869,88000
WI,2022,58000,,156000
WI,2021,66000,,168000
WI,2019,57000,770,168000
WI,2018,59000,787,175000
WI,2017,62000,824,182000
WI,2016,61000,921,198000
WY,2022,6000,,18000
WY,2021,5000,,17000
WY,2019,8000,143,15000
WY,2018,7000,157,18000
WY,2017,7000,153,18000
WY,2016,7000,146,15000
