state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,offender_age,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty
IN,2019,6511800,0.786,0.092,0.072,0.024,0.002,,0.023,66690,10.1,3.3,1.0,64.6,89.6,26.9,156859.744,12.6,12.8,15-24,4807.0,729.0,5176.0,5578.0,70.84,10.74,76.28,82.2,90000.0,1595.0,231000.0
IN,2018,6487100,0.79,0.093,0.071,0.023,<.01,,0.022,59890,11.6,3.4,0.9,65.0,89.0,27.1,146742.0092,18.1,14.6,15-24,2664.0,310.0,1632.0,2003.0,39.26,4.57,24.05,29.52,87000.0,1710.0,275000.0
IN,2017,6459400,0.794,0.091,0.07,0.021,<.01,,0.024,58870,11.4,3.5,1.1,64.2,88.6,26.8,136933.5788,16.7,17.3,15-24,2146.0,168.0,787.0,913.0,31.63,2.48,11.6,13.45,98000.0,1971.0,282000.0
IN,2016,6431400,0.798,0.091,0.068,0.021,<.01,,0.021,56090,11.8,4.4,1.6,64.7,88.4,25.6,129575.7049,15.7,15.3,15-24,1514.0,78.0,203.0,265.0,22.31,1.15,2.99,3.91,91000.0,1958.0,301000.0
IA,2022,3101000,0.829,0.036,0.068,0.024,0.001,0.002,0.039,76320,9.4,2.8,0.7,68.0,93.5,32.3,202868.0935,16.4,7.2,15-24,5866.0,819.0,5910.0,6782.0,183.33,25.6,184.71,211.96,30000.0,,86000.0
IA,2021,3093200,0.831,0.034,0.067,0.023,0.003,0.001,0.041,72430,9.7,3.9,1.7,67.1,93.3,30.5,183393.9512,15.9,9.9,15-24,5499.0,846.0,5870.0,7080.0,171.95,26.45,183.56,221.39,31000.0,,91000.0
IA,2020,0,0.0,0,0.0,0.0,0,0,0.0,68820,9.2,5.2,1.1,66.9,93.1,29.5,167728.4025,16.9,8.2,15-24,6067.0,708.0,6998.0,6625.0,190.13,22.19,219.31,207.62,,,
IA,2019,3060200,0.853,0.039,0.063,0.023,0.003,<.01,0.019,66050,9.5,2.7,0.6,70.0,92.6,29.3,160042.2904,17.4,4.6,15-24,6666.0,899.0,7370.0,6479.0,208.94,28.17,231.0,203.07,34000.0,624.0,92000.0
IA,2018,3056800,0.855,0.034,0.061,0.026,<.01,,0.02,68720,8.9,2.6,0.8,69.2,92.3,29.0,152433.2084,14.9,5.4,15-24,6046.0,838.0,6611.0,5281.0,189.51,26.27,207.21,165.53,32000.0,649.0,97000.0
IA,2017,3045600,0.859,0.031,0.059,0.027,<.01,,0.02,63480,9.1,3.1,1.0,68.9,92.1,28.9,146369.8961,16.2,7.4,15-24,8285.0,1172.0,9829.0,7188.0,259.68,36.73,308.08,225.3,32000.0,672.0,88000.0
IA,2016,3030400,0.866,0.033,0.057,0.024,<.01,,0.017,59090,9.8,3.6,1.0,69.7,91.8,28.4,141827.5742,14.1,7.0,15-24,7886.0,1167.0,10969.0,7623.0,247.18,36.58,343.81,238.93,27000.0,1000.0,105000.0
KS,2022,2838500,0.733,0.046,0.131,0.03,0.004,,0.055,73040,10.5,2.6,0.9,66.5,92.1,35.6,203653.6958,23.0,21.6,15-24,7455.0,1196.0,7995.0,9310.0,253.86,40.73,272.24,317.03,37000.0,,94000.0
KS,2021,2843100,0.734,0.047,0.129,0.03,0.004,,0.056,75980,7.1,3.4,1.5,66.5,91.9,35.4,181244.1296,23.0,16.0,15-24,7609.0,949.0,7944.0,9566.0,258.99,32.31,270.4,325.61,38000.0,,92000.0
KS,2020,0,0.0,0,0.0,0.0,0,0,0.0,73080,9.3,5.8,0.9,66.8,91.8,35.1,161331.4655,22.9,15.3,15-24,7153.0,926.0,8502.0,8279.0,243.45,31.51,289.37,281.78,,,
KS,2019,2811200,0.757,0.055,0.122,0.028,0.006,,0.032,73150,9.5,3.2,0.9,67.1,91.8,34.0,149943.5409,20.6,7.3,15-24,7057.0,1304.0,8540.0,8784.0,240.21,44.39,290.69,299.0,33000.0,1078.0,101000.0
KS,2018,2814700,0.76,0.054,0.12,0.028,0.01,,0.032,63940,7.5,3.4,1.0,66.8,91.0,33.8,142936.7128,24.7,7.0,15-24,7766.0,1446.0,9109.0,8897.0,264.34,49.22,310.06,302.84,32000.0,1035.0,103000.0
KS,2017,2817600,0.761,0.053,0.119,0.03,0.01,,0.03,57870,14.7,3.6,1.2,66.8,91.0,33.7,136262.9024,22.4,6.5,15-24,7779.0,1621.0,9418.0,8740.0,264.79,55.18,320.57,297.5,35000.0,992.0,104000.0
KS,2016,2817000,0.765,0.056,0.117,0.027,0.01,,0.029,56810,11.2,4.0,1.5,67.4,90.5,32.8,131386.1313,17.3,6.5,15-24,7019.0,1705.0,10095.0,9075.0,238.92,58.03,343.62,308.9,36000.0,966.0,99000.0
KY,2022,4377200,0.825,0.074,0.041,0.014,0.001,,0.045,55870,17.1,4.0,1.2,57.6,89.0,27.9,188212.7744,17.1,20.5,15-24,5661.0,896.0,6918.0,8224.0,125.47,19.86,153.34,182.29,74000.0,,207000.0
KY,2021,4365500,0.83,0.068,0.038,0.015,0.002,,0.047,55630,16.2,4.5,2.0,57.1,88.0,27.0,169731.9932,19.1,26.0,15-24,6137.0,886.0,7530.0,8696.0,136.14,19.66,167.05,192.92,78000.0,,220000.0
KY,2020,0,0.0,0,0.0,0.0,0,0,0.0,56760,13.9,6.5,1.8,57.0,88.7,27.4,150143.7935,17.5,23.0,15-24,6267.0,1065.0,9082.0,8512.0,139.01,23.62,201.46,188.82,,,
KY,2019,4319300,0.845,0.08,0.037,0.016,0.001,,0.02,55660,13.6,4.1,1.4,58.7,87.2,25.1,139848.0504,14.7,11.8,15-24,8189.0,1469.0,10984.0,9258.0,181.73,32.6,243.75,205.45,70000.0,1522.0,212000.0
KY,2018,4320300,0.848,0.076,0.036,0.015,<.01,,0.023,54560,15.7,4.2,1.4,58.6,86.8,24.8,132370.8326,17.8,14.4,15-24,9907.0,1699.0,11759.0,9609.0,219.85,37.71,260.95,213.23,73000.0,1549.0,226000.0
KY,2017,4307100,0.849,0.079,0.035,0.015,<.01,,0.022,51350,14.4,4.8,2.0,58.8,86.3,24.0,124914.8588,13.7,15.4,15-24,10254.0,1861.0,13714.0,10283.0,227.55,41.29,304.33,228.19,72000.0,1403.0,223000.0
KY,2016,4287700,0.852,0.08,0.034,0.014,<.01,,0.018,45370,15.2,5.0,2.1,58.3,85.7,23.4,118772.7011,15.7,15.5,15-24,10193.0,1825.0,15065.0,10872.0,226.2,40.5,334.31,241.26,75000.0,1406.0,248000.0
LA,2022,4451600,0.571,0.306,0.057,0.018,0.004,,0.044,58320,16.9,3.6,1.9,58.4,87.3,27.1,208826.3598,14.4,19.8,15-24,9384.0,816.0,10200.0,10909.0,204.53,17.79,222.32,237.77,86000.0,,257000.0
LA,2021,4480200,0.574,0.306,0.055,0.018,0.004,,0.044,57210,18.4,5.6,3.7,57.7,86.7,26.4,198002.9453,16.0,21.7,15-24,8774.0,577.0,9526.0,10517.0,189.62,12.47,205.87,227.29,100000.0,,287000.0
LA,2020,0,0.0,0,0.0,0.0,0,0,0.0,51190,15.5,8.7,2.5,57.4,86.9,27.2,188339.4683,12.6,15.3,15-24,3065.0,172.0,4300.0,4274.0,65.89,3.7,92.43,91.88,,,
LA,2019,4498600,0.588,0.319,0.052,0.017,0.005,,0.019,51710,17.9,4.6,1.9,58.6,86.0,25.0,179519.2822,16.1,9.2,15-24,2440.0,116.0,2907.0,3004.0,52.38,2.49,62.41,64.49,76000.0,357.0,289000.0
LA,2018,4519300,0.588,0.316,0.051,0.016,0.01,,0.023,49970,19.0,4.8,1.9,58.8,85.8,24.3,173800.59,15.2,9.6,15-24,2482.0,145.0,3396.0,3107.0,53.28,3.11,72.91,66.71,95000.0,399.0,283000.0
LA,2017,4541500,0.588,0.318,0.052,0.018,0.01,,0.019,43900,21.4,5.1,2.4,58.8,85.1,23.8,171363.3701,14.9,11.0,15-24,2443.0,166.0,3130.0,2849.0,52.45,3.57,67.2,61.16,96000.0,403.0,307000.0
LA,2016,4530500,0.594,0.318,0.049,0.017,0.01,,0.017,42200,20.2,6.1,2.5,59.3,84.4,23.4,172156.1913,14.8,10.5,15-24,2394.0,175.0,2992.0,2952.0,51.4,3.76,64.23,63.38,97000.0,427.0,314000.0
ME,2022,1348100,0.905,0.016,0.02,0.009,0.004,,0.045,75160,9.6,2.9,1.3,59.1,94.6,36.1,358122.026,12.7,20.4,15-24,590.0,163.0,2220.0,2372.0,42.47,11.73,159.78,170.73,14000.0,,28000.0
ME,2021,1336900,0.9,0.014,0.018,0.011,0.003,,0.053,71140,9.1,4.7,2.3,60.4,94.5,36.0,311270.9749,16.2,19.4,15-24,775.0,147.0,2100.0,2331.0,56.21,10.66,152.31,169.07,16000.0,,37000.0
ME,2020,0,0.0,0,0.0,0.0,0,0,0.0,63690,8.0,5.1,1.3,59.6,93.6,33.5,257755.1702,17.2,21.8,15-24,599.0,111.0,1399.0,1544.0,43.9,8.13,102.53,113.16,,,
ME,2019,1302300,0.932,0.014,0.017,0.011,0.007,,0.019,66550,10.4,2.9,1.1,62.4,93.2,33.2,236456.3762,17.7,14.5,15-24,716.0,128.0,1236.0,1312.0,52.52,9.39,90.67,96.25,12000.0,119.0,33000.0
ME,2018,1299500,0.934,0.013,0.015,0.013,<.01,,0.021,58660,11.6,3.2,0.9,63.0,93.0,31.5,225420.5024,19.0,9.2,15-24,511.0,161.0,1242.0,1056.0,37.48,11.81,91.12,77.47,12000.0,93.0,35000.0
ME,2017,1300200,0.937,0.011,0.016,0.011,0.01,,0.019,51660,12.0,3.4,1.2,63.6,92.3,32.1,211392.2435,13.5,15.4,15-24,512.0,157.0,1320.0,921.0,37.56,11.52,96.84,67.56,13000.0,116.0,33000.0
ME,2016,1293800,0.936,0.015,0.015,0.012,0.01,,0.016,50860,12.7,3.8,1.6,63.4,92.3,30.1,198263.7839,22.2,17.8,15-24,905.0,162.0,1497.0,953.0,66.38,11.88,109.82,69.91,14000.0,123.0,43000.0
MD,2022,6011200,0.472,0.292,0.115,0.066,0.001,,0.054,108200,8.6,3.0,1.7,64.8,91.4,43.8,396489.4444,10.9,16.2,15-24,10377.0,1309.0,10919.0,15227.0,168.35,21.23,177.14,247.03,69000.0,,155000.0
MD,2021,5992100,0.481,0.286,0.111,0.068,0.001,0,0.052,97330,7.7,5.2,3.2,64.8,91.1,42.5,368780.6287,11.6,18.0,15-24,6789.0,641.0,6336.0,8708.0,109.94,10.38,102.6,141.01,78000.0,,187000.0
MD,2020,0,0.0,0,0.0,0.0,0,0,0.0,94790,9.4,6.5,1.7,66.5,91.1,43.1,329988.1588,8.3,20.1,15-24,1514.0,195.0,1950.0,1956.0,24.52,3.15,31.58,31.68,,,
MD,2019,5875500,0.499,0.296,0.106,0.064,0.002,,0.032,95570,7.0,3.4,1.5,68.9,90.4,40.9,315086.4882,10.5,18.1,15-24,2661.0,184.0,2433.0,2015.0,43.08,2.98,39.39,32.62,68000.0,770.0,157000.0
MD,2018,5870800,0.503,0.293,0.105,0.064,<.01,,0.034,86220,8.0,3.8,1.9,67.8,90.5,40.8,304548.6894,11.9,16.1,15-24,2524.0,146.0,1813.0,1343.0,40.86,2.37,29.35,21.74,75000.0,818.0,152000.0
MD,2017,5892900,0.507,0.292,0.102,0.065,<.01,<.01,0.031,81080,7.8,4.0,1.9,67.6,89.9,39.7,294184.6855,10.0,19.3,,,,,,,,,,74000.0,846.0,160000.0
MD,2016,5856500,0.514,0.293,0.098,0.063,<.01,,0.03,73760,7.1,4.3,2.1,66.9,90.1,39.3,283953.017,8.6,20.6,,,,,,,,,,76000.0,858.0,169000.0
MA,2022,6757900,0.673,0.065,0.131,0.07,0.001,,0.06,93550,9.6,3.7,1.9,65.2,91.3,46.6,556942.6519,7.8,12.2,15-24,2796.0,1188.0,8210.0,12944.0,40.04,17.02,117.57,185.37,64000.0,,152000.0
MA,2021,6744100,0.677,0.061,0.129,0.069,0.001,,0.063,86570,7.6,5.4,4.0,65.1,91.1,46.6,504870.5217,7.2,14.6,15-24,2833.0,997.0,7195.0,11985.0,40.51,14.26,102.9,171.41,67000.0,,169000.0
MA,2020,0,0.0,0,0.0,0.0,0,0,0.0,87810,8.4,9.4,2.1,65.3,91.3,46.9,443372.5791,7.6,12.1,15-24,2641.0,1138.0,8041.0,11546.0,37.74,16.26,114.91,164.99,,,
MA,2019,6650800,0.705,0.07,0.124,0.067,0.002,<.01,0.032,87710,7.5,3.0,1.2,67.2,91.3,45.0,421752.5499,7.1,12.8,15-24,3002.0,1232.0,8093.0,12124.0,42.69,17.52,115.08,172.39,58000.0,1382.0,154000.0
MA,2018,6659900,0.708,0.07,0.124,0.067,<.01,,0.029,86350,8.7,3.5,1.6,67.1,90.8,44.5,410211.5293,8.4,13.7,15-24,3319.0,1176.0,8598.0,12002.0,47.19,16.72,122.25,170.66,63000.0,1560.0,164000.0
MA,2017,6620600,0.717,0.069,0.119,0.064,<.01,,0.029,73230,10.6,3.8,1.7,65.9,90.8,43.4,386046.5835,8.4,15.3,15-24,3731.0,1311.0,10791.0,13177.0,53.05,18.64,153.43,187.36,63000.0,1543.0,182000.0
MA,2016,6570600,0.726,0.067,0.114,0.063,<.01,,0.028,72270,9.6,4.0,2.0,65.3,90.4,42.7,361931.3072,8.7,18.3,15-24,4204.0,1424.0,12353.0,13890.0,59.78,20.25,175.64,197.5,65000.0,1605.0,185000.0
MI,2022,9824500,0.729,0.129,0.057,0.033,0.003,0,0.05,68990,12.1,4.1,1.8,60.4,91.8,32.1,228016.4357,13.9,10.1,15-24,9120.0,5335.0,27250.0,31474.0,90.9,53.18,271.6,313.7,128000.0,,378000.0
MI,2021,9841800,0.731,0.131,0.056,0.032,0.003,0,0.048,64490,11.7,5.8,3.4,59.4,92.0,31.7,206833.9654,15.3,11.8,15-24,10183.0,3468.0,19932.0,30831.0,101.45,34.55,198.56,307.14,139000.0,,377000.0
MI,2020,0,0.0,0,0.0,0.0,0,0,0.0,64390,11.2,10.1,1.9,60.4,92.0,32.1,180294.8683,14.6,13.7,15-24,10104.0,3489.0,20675.0,30262.0,100.33,34.64,205.31,300.5,,,
MI,2019,9765600,0.749,0.134,0.053,0.032,0.005,,0.027,64120,10.2,4.1,1.3,61.9,91.4,30.0,169404.0894,13.3,10.1,15-24,9094.0,5181.0,25307.0,33393.0,90.24,51.41,251.12,331.35,118000.0,1439.0,371000.0
MI,2018,9770000,0.75,0.135,0.052,0.032,<.01,,0.026,60450,10.5,4.2,1.4,61.6,91.1,29.6,159393.1485,16.8,11.4,15-24,20201.0,5266.0,27867.0,34979.0,200.45,52.25,276.52,347.09,130000.0,1424.0,413000.0
MI,2017,9720300,0.753,0.135,0.05,0.031,<.01,,0.026,57700,12.7,4.6,1.6,61.4,90.9,29.1,147892.2069,14.2,14.9,15-24,23903.0,5429.0,32588.0,35872.0,237.19,53.87,323.37,355.95,135000.0,1503.0,419000.0
MI,2016,9693500,0.756,0.135,0.049,0.029,<.01,,0.027,57090,11.1,5.0,2.0,61.3,90.4,28.3,137536.6185,14.7,13.4,15-24,26528.0,5840.0,36817.0,40350.0,263.23,57.95,365.33,400.39,146000.0,1429.0,446000.0
MN,2022,5600400,0.763,0.065,0.058,0.052,0.007,,0.055,90390,7.6,2.5,1.0,68.2,94.0,39.1,325231.7254,15.2,18.8,15-24,8403.0,2030.0,11398.0,10321.0,147.05,35.53,199.46,180.62,50000.0,,139000.0
MN,2021,5585100,0.769,0.067,0.058,0.05,0.006,,0.049,80440,6.9,3.7,2.4,67.9,94.1,38.9,298790.6145,15.1,21.7,15-24,8982.0,2112.0,11234.0,10870.0,157.08,36.93,196.47,190.11,57000.0,,139000.0
MN,2020,0,0.0,0,0.0,0.0,0,0,0.0,78750,8.5,6.3,1.3,69.7,93.8,37.9,266296.4713,13.7,18.2,15-24,5822.0,1407.0,8185.0,6829.0,101.95,24.64,143.33,119.59,,,
MN,2019,5514800,0.791,0.064,0.056,0.049,0.009,,0.03,81430,5.7,3.3,0.8,69.9,93.6,37.3,252044.0064,15.6,13.8,15-24,3026.0,918.0,4745.0,4099.0,53.02,16.09,83.15,71.83,43000.0,1149.0,143000.0
MN,2018,5489000,0.796,0.065,0.054,0.047,0.01,,0.028,71820,7.9,3.0,0.8,69.6,93.4,36.7,239466.7637,15.5,8.6,15-24,1187.0,289.0,1455.0,955.0,20.8,5.07,25.5,16.74,47000.0,1198.0,150000.0
MN,2017,5446600,0.8,0.064,0.052,0.048,0.01,,0.026,71920,9.2,3.5,1.0,70.1,93.1,36.1,224271.1066,15.8,10.0,,,,,,,,,,41000.0,1164.0,150000.0
MN,2016,5392900,0.807,0.057,0.051,0.049,0.01,,0.026,70220,8.7,3.9,1.0,70.0,92.9,34.8,209669.2919,14.1,10.4,,,,,,,,,,48000.0,1175.0,161000.0
MS,2022,2828900,0.557,0.364,0.032,0.009,0.004,,0.035,48610,18.4,3.8,1.9,54.9,87.6,24.8,178507.9594,10.8,13.2,15-24,5464.0,794.0,4352.0,4732.0,185.92,27.01,148.08,161.01,57000.0,,175000.0
MS,2021,2850600,0.559,0.357,0.031,0.008,0.004,,0.04,46640,17.4,5.5,2.9,55.1,86.5,24.8,162178.3372,16.2,14.7,15-24,5223.0,746.0,4798.0,4980.0,177.07,25.29,162.67,168.84,56000.0,,189000.0
MS,2020,0,0.0,0,0.0,0.0,0,0,0.0,45130,17.6,8.0,2.4,54.7,86.8,24.5,145332.868,12.3,10.3,15-24,3886.0,527.0,3832.0,3596.0,131.36,17.81,129.53,121.55,,,
MS,2019,2867100,0.566,0.376,0.03,0.01,0.004,,0.014,44790,19.2,5.5,2.2,56.1,85.3,22.3,138591.2854,13.4,6.5,15-24,2560.0,459.0,2539.0,2340.0,86.45,15.5,85.74,79.02,59000.0,461.0,192000.0
MS,2018,2879400,0.567,0.377,0.028,0.009,<.01,,0.014,42780,19.6,5.0,2.1,55.6,85.4,23.2,133841.9373,14.1,3.9,15-24,1625.0,379.0,1994.0,1785.0,54.87,12.8,67.33,60.28,60000.0,504.0,193000.0
MS,2017,2884500,0.569,0.377,0.028,0.01,<.01,,0.012,43440,18.3,5.2,2.4,55.7,84.4,21.9,130735.2395,13.2,5.5,,,,,,,,,,63000.0,592.0,190000.0
MS,2016,2887300,0.572,0.376,0.028,0.01,<.01,,0.011,41100,21.1,6.0,2.6,55.7,84.1,21.8,128885.7741,12.8,5.0,,,,,,,,,,60000.0,676.0,211000.0
MO,2022,5990000,0.769,0.104,0.047,0.021,0.002,0.001,0.056,71520,11.4,2.6,0.9,62.4,91.6,32.2,227423.0773,18.1,22.7,15-24,11272.0,2221.0,16956.0,15901.0,182.47,35.96,274.5,257.41,74000.0,,225000.0
MO,2021,5987500,0.768,0.106,0.046,0.02,0.002,0.001,0.057,63590,12.3,4.1,2.2,62.5,91.6,31.7,201609.9262,20.5,21.2,15-24,12482.0,2229.0,17735.0,15887.0,202.29,36.12,287.42,257.47,75000.0,,219000.0
MO,2020,0,0.0,0,0.0,0.0,0,0,0.0,62180,10.7,6.2,1.3,62.7,91.4,31.9,175660.4067,19.8,21.2,15-24,9029.0,1780.0,12798.0,10667.0,146.7,28.92,207.95,173.32,,,
MO,2019,5939900,0.794,0.112,0.043,0.021,0.004,0.001,0.026,60600,9.4,3.3,0.9,63.9,90.7,30.2,164562.1624,20.5,16.1,15-24,6470.0,921.0,6744.0,5322.0,105.12,14.97,109.57,86.47,77000.0,1428.0,229000.0
MO,2018,5934500,0.795,0.113,0.041,0.02,<.01,<.01,0.026,61730,12.4,3.2,1.2,63.6,90.5,29.5,156695.0062,21.2,19.0,15-24,4862.0,547.0,4679.0,4972.0,78.99,8.89,76.02,80.78,78000.0,1367.0,247000.0
MO,2017,5921300,0.797,0.111,0.042,0.02,<.01,<.01,0.025,56890,11.1,3.7,1.5,63.9,89.7,29.1,148325.0918,21.0,15.5,15-24,2760.0,441.0,4227.0,4384.0,44.84,7.17,68.68,71.22,75000.0,1351.0,252000.0
MO,2016,5898000,0.798,0.113,0.04,0.019,<.01,<.01,0.024,55020,13.0,4.6,1.6,64.6,89.6,28.5,140590.5299,19.3,17.9,15-24,2651.0,437.0,4193.0,4230.0,43.07,7.1,68.13,68.73,78000.0,1403.0,261000.0
MT,2022,1093400,0.838,0.003,0.043,0.006,0.051,,0.058,72970,10.4,2.7,0.7,62.9,94.0,34.6,442839.3558,33.3,10.2,15-24,907.0,572.0,7227.0,3217.0,80.78,50.94,643.61,286.5,13000.0,,31000.0
MT,2021,1073800,0.838,0.004,0.043,0.007,0.055,,0.054,65000,10.7,3.4,1.6,62.3,94.4,34.8,366372.4047,44.6,7.8,15-24,1050.0,718.0,8393.0,3592.0,94.9,64.89,758.61,324.67,14000.0,,32000.0
MT,2020,0,0.0,0,0.0,0.0,0,0,0.0,56740,10.9,5.8,1.2,63.0,94.4,34.6,294102.8299,33.6,8.8,15-24,1481.0,933.0,8304.0,2875.0,136.22,85.81,763.79,264.43,,,
MT,2019,1039400,0.861,0.006,0.037,0.008,0.061,,0.028,60190,9.7,3.5,1.0,63.7,94.2,33.6,271932.391,36.8,,15-24,1970.0,852.0,7672.0,2733.0,181.7,78.58,707.59,252.07,13000.0,246.0,33000.0
MT,2018,1034000,0.861,<.01,0.039,0.007,0.058,,0.031,57680,10.3,3.8,1.2,63.3,93.9,31.7,258121.642,29.3,9.5,15-24,2306.0,875.0,9300.0,2776.0,212.68,80.7,857.74,256.03,13000.0,234.0,36000.0
MT,2017,1022600,0.865,<.01,0.036,0.01,0.059,,0.029,59090,9.7,4.1,1.3,63.2,93.0,32.3,243461.5568,31.6,8.1,15-24,2452.0,463.0,5292.0,2760.0,226.15,42.7,488.08,254.55,13000.0,227.0,33000.0
MT,2016,1015100,0.866,,0.035,0.01,0.061,,0.027,57080,11.7,4.3,1.5,63.3,92.8,31.0,232530.2487,29.2,,15-24,2475.0,502.0,4740.0,2712.0,228.27,46.3,437.17,250.12,14000.0,185.0,34000.0
NE,2022,1913700,0.759,0.042,0.123,0.023,0.005,,0.047,78360,7.9,2.1,0.6,69.4,92.8,34.7,237003.4889,16.4,8.9,15-24,4022.0,504.0,3660.0,3991.0,204.36,25.61,185.97,202.79,15000.0,,64000.0
NE,2021,1907000,0.766,0.042,0.12,0.022,0.006,,0.044,78110,8.1,2.6,1.2,69.3,92.2,34.4,213378.2959,15.3,10.6,15-24,4317.0,449.0,3375.0,3911.0,219.78,22.85,171.82,199.11,19000.0,,59000.0
NE,2020,0,0.0,0,0.0,0.0,0,0,0.0,72250,8.3,4.3,1.1,69.6,91.9,33.3,189029.5901,14.2,9.7,15-24,2529.0,300.0,2124.0,2042.0,128.82,15.28,108.19,104.01,,,
NE,2019,1873600,0.785,0.048,0.113,0.024,0.008,,0.021,73070,8.7,3.1,0.8,70.3,92.0,33.2,177106.5192,15.3,5.6,15-24,2996.0,329.0,2698.0,2333.0,152.71,16.77,137.52,118.91,18000.0,637.0,51000.0
NE,2018,1868900,0.787,0.044,0.111,0.023,0.01,,0.029,67580,10.5,2.9,0.8,69.8,91.4,32.4,167798.9096,13.4,,15-24,3472.0,424.0,3075.0,2521.0,176.97,21.61,156.74,128.49,18000.0,597.0,60000.0
NE,2017,1859200,0.792,0.043,0.11,0.025,0.01,,0.023,59620,10.4,3.0,1.0,69.4,91.3,31.7,157906.123,17.9,5.6,15-24,3560.0,394.0,3466.0,2451.0,181.45,20.08,176.66,124.93,19000.0,590.0,66000.0
NE,2016,1845000,0.8,0.044,0.106,0.023,0.01,,0.02,59370,9.6,3.1,1.2,69.9,90.9,31.4,149703.0432,16.0,,15-24,3056.0,339.0,3273.0,2250.0,155.77,17.27,166.83,114.68,19000.0,605.0,66000.0
NV,2022,3125400,0.444,0.09,0.303,0.09,0.005,0.006,0.063,72330,12.0,5.2,3.0,61.6,87.4,27.0,435313.5172,20.4,18.0,15-24,4597.0,823.0,7301.0,12084.0,144.68,25.9,229.78,380.31,51000.0,,109000.0
NV,2021,3090300,0.451,0.086,0.301,0.084,0.006,0.007,0.066,64340,12.8,6.8,5.9,60.2,87.2,27.6,362795.728,25.2,23.3,15-24,4795.0,796.0,7479.0,12393.0,152.38,25.3,237.68,393.85,54000.0,,129000.0
NV,2020,0,0.0,0,0.0,0.0,0,0,0.0,61160,12.9,13.7,2.7,61.3,87.2,28.0,311969.8337,19.5,28.7,15-24,2077.0,379.0,3213.0,4692.0,66.66,12.16,103.12,150.59,,,
NV,2019,3029700,0.478,0.092,0.293,0.085,0.009,0.006,0.037,70910,10.4,4.2,1.4,64.1,86.9,25.7,300435.9342,17.5,12.6,15-24,99.0,30.0,152.0,199.0,3.19,0.97,4.89,6.41,45000.0,385.0,115000.0
NV,2018,2983400,0.485,0.087,0.291,0.081,0.01,0.01,0.041,61860,13.0,4.4,1.5,63.4,86.9,24.9,280388.2248,18.4,6.9,,,,,,,,,,43000.0,343.0,120000.0
NV,2017,2946600,0.489,0.087,0.289,0.084,0.01,0.01,0.035,56550,13.7,5.0,2.0,62.6,86.8,24.9,245969.1567,21.2,12.1,,,,,,,,,,48000.0,314.0,125000.0
NV,2016,2890400,0.499,0.083,0.285,0.083,0.01,0.01,0.035,55430,10.1,5.8,2.6,62.1,86.0,23.5,224915.7323,14.9,12.9,,,,,,,,,,48000.0,343.0,127000.0
NH,2022,1358400,0.867,0.014,0.045,0.026,0.001,,0.047,84970,8.3,2.3,0.9,65.6,94.5,41.3,413106.1551,11.8,12.4,15-24,1631.0,285.0,2125.0,3098.0,116.58,20.37,151.89,221.44,11000.0,,17000.0
NH,2021,1346700,0.876,0.012,0.043,0.027,,,0.043,88840,6.9,3.4,1.9,65.6,94.4,40.2,359487.1514,13.4,16.3,15-24,1885.0,307.0,2229.0,2954.0,135.85,22.12,160.65,212.9,11000.0,,23000.0
NH,2020,0,0.0,0,0.0,0.0,0,0,0.0,88890,6.2,6.7,1.2,66.9,94.1,40.2,302814.1981,17.1,13.5,15-24,2059.0,345.0,2402.0,2848.0,149.35,25.02,174.23,206.57,,,
NH,2019,1314000,0.898,0.013,0.039,0.026,,,0.021,86900,3.7,2.6,0.8,68.9,93.3,37.6,281235.1858,16.9,17.5,15-24,2629.0,484.0,2746.0,3320.0,190.85,35.14,199.35,241.01,11000.0,178.0,18000.0
NH,2018,1310300,0.902,0.011,0.038,0.028,,,0.018,81350,6.1,2.6,1.0,68.7,93.1,36.8,269097.569,17.7,17.7,15-24,3271.0,565.0,3308.0,3539.0,237.46,41.01,240.14,256.91,12000.0,240.0,27000.0
NH,2017,1297000,0.906,0.013,0.036,0.027,<.01,,0.016,74800,6.6,2.8,0.9,68.1,93.1,36.9,252063.5616,23.9,22.7,15-24,4119.0,639.0,3718.0,3594.0,299.02,46.38,269.91,260.9,12000.0,270.0,26000.0
NH,2016,1291300,0.911,0.011,0.035,0.025,,,0.018,76260,6.4,2.9,1.1,68.6,92.8,36.6,237175.2769,17.5,32.2,15-24,4986.0,701.0,4481.0,3769.0,361.95,50.89,325.29,273.61,12000.0,248.0,20000.0
NJ,2022,9091400,0.515,0.118,0.22,0.101,0.001,,0.046,92340,8.7,3.9,2.5,64.0,90.7,43.5,457660.1945,7.1,10.6,15-24,2302.0,904.0,6279.0,8128.0,24.86,9.76,67.8,87.77,96000.0,,254000.0
