state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,offender_age,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty
AR,2019,2922500,0.721,0.152,0.078,0.016,0.006,0.004,0.024,54540,14.1,3.5,1.0,58.1,87.5,23.3,145709.227,21.9,8.0,15-24,7783.0,1303.0,12223.0,12191.0,258.45,43.27,405.88,404.81,46000.0,456.0,151000.0
AR,2018,2921300,0.722,0.15,0.077,0.015,0.01,<.01,0.027,49780,15.9,3.7,1.2,57.9,87.2,23.3,140198.8967,16.3,9.8,15-24,8729.0,1549.0,13266.0,12532.0,289.86,51.44,440.52,416.14,54000.0,470.0,171000.0
AR,2017,2910000,0.725,0.149,0.076,0.017,0.01,<.01,0.027,48830,14.8,3.7,1.3,58.3,86.7,23.4,135134.5919,22.4,9.7,15-24,8688.0,1477.0,13350.0,12154.0,288.5,49.05,443.3,403.59,54000.0,442.0,156000.0
AR,2016,2895400,0.73,0.153,0.073,0.014,0.01,<.01,0.022,45910,16.0,4.0,1.7,58.1,86.0,22.4,130786.0634,15.4,7.5,15-24,8388.0,1533.0,14979.0,13182.0,278.53,50.9,497.4,437.72,57000.0,465.0,165000.0
CA,2022,38187000,0.337,0.051,0.404,0.153,0.002,0.003,0.049,85300,11.2,4.3,2.4,61.8,84.7,37.0,738501.98,8.8,14.9,15-24,15067.0,2955.0,19680.0,31248.0,38.59,7.57,50.41,80.04,522000.0,,1278000.0
CA,2021,38379200,0.342,0.051,0.403,0.151,0.002,0.003,0.047,81580,11.9,7.3,4.9,61.1,84.4,36.2,650386.5632,9.9,18.9,15-24,8335.0,1423.0,10018.0,16248.0,21.29,3.63,25.59,41.5,570000.0,,1363000.0
CA,2020,0,0.0,0,0.0,0.0,0,0,0.0,77650,11.1,10.2,2.6,60.9,84.4,36.9,562502.2309,9.3,19.4,,,,,,,,,,,,
CA,2019,38642700,0.364,0.053,0.395,0.147,0.004,0.004,0.033,78100,10.1,4.1,1.6,62.4,84.0,35.0,536110.7286,9.6,10.3,,,,,,,,,,482000.0,9333.0,1364000.0
CA,2018,38745900,0.367,0.054,0.394,0.146,<.01,<.01,0.033,70490,11.9,4.3,1.7,62.3,83.8,34.2,521103.4073,9.9,6.6,,,,,,,,,,512000.0,10151.0,1541000.0
CA,2017,38713900,0.37,0.053,0.393,0.145,<.01,<.01,0.033,69760,12.4,4.8,2.0,62.3,83.3,33.6,475721.1933,9.8,6.4,,,,,,,,,,545000.0,8540.0,1619000.0
CA,2016,38442400,0.375,0.054,0.39,0.142,<.01,<.01,0.033,66640,13.9,5.5,2.4,62.2,82.4,32.9,439544.1693,9.1,6.5,,,,,,,,,,560000.0,10266.0,1785000.0
CO,2022,5695100,0.65,0.036,0.226,0.031,0.004,0.001,0.052,89930,8.1,3.1,1.3,68.2,93.0,45.9,546611.9753,19.2,20.4,15-24,6716.0,1877.0,15521.0,13420.0,114.98,32.13,265.72,229.75,60000.0,,133000.0
CO,2021,5664200,0.653,0.036,0.222,0.031,0.003,0.002,0.053,84950,7.9,5.5,2.9,68.1,92.4,44.4,475613.7751,24.6,25.3,15-24,6058.0,1957.0,15308.0,13459.0,104.24,33.67,263.4,231.59,73000.0,,145000.0
CO,2020,0,0.0,0,0.0,0.0,0,0,0.0,83780,9.5,6.8,1.4,67.3,92.7,44.2,411694.4001,26.4,22.6,15-24,6131.0,2138.0,16085.0,12092.0,105.98,36.96,278.04,209.01,,,
CO,2019,5611800,0.678,0.038,0.218,0.032,0.005,0.001,0.028,72500,9.3,2.7,1.0,68.7,92.4,42.7,389875.7836,25.0,12.9,15-24,8643.0,2686.0,17194.0,12437.0,149.7,46.52,297.8,215.4,58000.0,1305.0,135000.0
CO,2018,5555200,0.68,0.038,0.216,0.032,<.01,<.01,0.028,73030,9.1,3.1,1.0,68.6,91.9,41.7,371962.9629,24.4,10.9,15-24,10508.0,2705.0,18883.0,13423.0,182.0,46.85,327.05,232.49,61000.0,1467.0,149000.0
CO,2017,5461100,0.683,0.038,0.216,0.031,0.01,<.01,0.026,74170,7.7,2.6,1.0,67.7,91.6,41.2,346114.1716,23.0,12.1,15-24,11032.0,2825.0,20245.0,13095.0,191.07,48.93,350.65,226.8,59000.0,1522.0,149000.0
CO,2016,5398100,0.687,0.039,0.213,0.031,0.01,<.01,0.025,70570,8.5,3.1,1.4,66.9,91.4,39.9,317127.9619,22.5,11.7,15-24,11322.0,2927.0,22499.0,12664.0,196.09,50.69,389.68,219.34,70000.0,1594.0,166000.0
CT,2022,3506600,0.62,0.097,0.183,0.047,0.001,,0.052,90730,10.2,4.1,2.1,65.2,91.5,41.9,342689.2251,7.5,9.0,15-24,1572.0,305.0,3259.0,5423.0,43.56,8.45,90.31,150.27,42000.0,,90000.0
CT,2021,3501500,0.628,0.097,0.178,0.047,0.001,,0.049,80960,8.0,6.4,4.1,63.1,91.1,42.1,307588.2668,11.0,15.0,15-24,1817.0,293.0,3329.0,5400.0,50.42,8.13,92.38,149.85,38000.0,,92000.0
CT,2020,0,0.0,0,0.0,0.0,0,0,0.0,79430,11.2,8.0,2.3,64.5,91.6,42.4,267623.1647,6.1,17.3,15-24,2057.0,326.0,3582.0,4806.0,57.5,9.12,100.12,134.34,,,
