state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi
NV,2017,2946600,0.489,0.087,0.289,0.084,0.01,0.01,0.035,56550,13.7,5,2,62.6,86.8,24.9,245969.1567
NV,2016,2890400,0.499,0.083,0.285,0.083,0.01,0.01,0.035,55430,10.1,5.8,2.6,62.1,86,23.5,224915.7323
NH,2022,1358400,0.867,0.014,0.045,0.026,0.001,N/A,0.047,84970,8.3,2.3,0.9,65.6,94.5,41.3,413106.1551
NH,2021,1346700,0.876,0.012,0.043,0.027,N/A,N/A,0.043,88840,6.9,3.4,1.9,65.6,94.4,40.2,359487.1514
NH,2020,0,0,0,0,0,0,0,0,88890,6.2,6.7,1.2,66.9,94.1,40.2,302814.1981
NH,2019,1314000,0.898,0.013,0.039,0.026,N/A,N/A,0.021,86900,3.7,2.6,0.8,68.9,93.3,37.6,281235.1858
NH,2018,1310300,0.902,0.011,0.038,0.028,N/A,N/A,0.018,81350,6.1,2.6,1,68.7,93.1,36.8,269097.569
NH,2017,1297000,0.906,0.013,0.036,0.027,<.01,N/A,0.016,74800,6.6,2.8,0.9,68.1,93.1,36.9,252063.5616
NH,2016,1291300,0.911,0.011,0.035,0.025,N/A,N/A,0.018,76260,6.4,2.9,1.1,68.6,92.8,36.6,237175.2769
NJ,2022,9091400,0.515,0.118,0.22,0.101,0.001,N/A,0.046,92340,8.7,3.9,2.5,64,90.7,43.5,457660.1945
NJ,2021,9085100,0.522,0.121,0.216,0.1,0.001,0,0.04,88560,7.6,6.7,4.8,62.9,91,43.1,414428.7519
NJ,2020,0,0,0,0,0,0,0,0,85550,8.2,9.5,2.6,62.8,90.9,43.1,364930.7064
NJ,2019,8699400,0.545,0.124,0.21,0.096,0.001,N/A,0.024,87730,6.3,3.5,1.7,63.8,90.3,41.2,345727.387
NJ,2018,8728300,0.547,0.126,0.208,0.097,<.01,N/A,0.021,74180,8.2,4,2.2,63,90.2,40.8,332596.9378
NJ,2017,8823900,0.55,0.125,0.205,0.098,<.01,N/A,0.021,73000,8.6,4.5,2.2,63.5,89.9,39.7,318909.7721
NJ,2016,8762700,0.557,0.125,0.2,0.095,<.01,N/A,0.022,68470,9.4,4.9,2.6,63.9,89.3,38.6,309041.9812
NM,2022,2057700,0.347,0.015,0.505,0.016,0.081,N/A,0.035,56420,20.2,4.1,2,56.5,88,30.5,277305.5958
NM,2021,2063100,0.348,0.016,0.503,0.014,0.081,N/A,0.037,53460,18,7.1,4,56.4,87.5,30.1,242685.7182
NM,2020,0,0,0,0,0,0,0,0,50910,16.6,7.9,2.5,56,87.8,30.1,210111.1314
NM,2019,2041400,0.367,0.017,0.495,0.016,0.087,N/A,0.018,53110,15.3,5,1.9,58.1,85.9,27.7,194755.4869
NM,2018,2045300,0.369,0.018,0.491,0.015,0.089,N/A,0.017,48280,16.6,4.9,2,57.8,85.4,27.7,184782.4697
NM,2017,2038200,0.373,0.016,0.49,0.013,0.09,N/A,0.018,47860,18.6,6,2.5,58.3,86.1,27.1,177941.8119
NM,2016,2029400,0.379,0.017,0.486,0.015,0.086,N/A,0.017,48450,17.8,6.8,2.6,58.4,85.4,27.2,173299.8775
NY,2022,19161800,0.53,0.133,0.197,0.09,0.002,0,0.048,75910,12.7,4.3,2.7,60.2,87.9,40,434463.1553
NY,2021,19309800,0.535,0.132,0.196,0.087,0.002,0,0.048,72920,12.5,7.1,5.2,59.5,88,39.9,398584.1832
NY,2020,0,0,0,0,0,0,0,0,68660,11.8,9.9,2.7,59,87.8,39.5,359584.6094
NY,2019,18908300,0.552,0.14,0.193,0.086,0.002,N/A,0.027,71850,12.5,3.9,1.7,60.7,87.6,37.8,342730.7553
NY,2018,19016900,0.553,0.141,0.193,0.085,<.01,N/A,0.026,67270,11.1,4.1,1.9,60.6,87.1,37.2,325516.8133
NY,2017,19315700,0.552,0.142,0.193,0.087,<.01,<.01,0.025,62450,13.4,4.6,2.1,60.8,86.6,36,305966.1925
NY,2016,19221500,0.556,0.142,0.191,0.085,<.01,<.01,0.025,61440,11.9,4.9,2.3,60.6,86.3,35.7,289577.4648
NC,2022,10340200,0.609,0.2,0.104,0.031,0.008,0.001,0.046,65070,14.2,3.7,1.5,61.2,90.2,35.9,305361.7385
NC,2021,10211700,0.611,0.197,0.101,0.031,0.009,0,0.05,62890,11.8,4.9,2.6,59.5,89.7,34.9,257268.9666
NC,2020,0,0,0,0,0,0,0,0,60430,13.8,7.3,1.7,58.9,90.3,34.8,218480.7064
NC,2019,10139700,0.627,0.209,0.097,0.029,0.011,<.01,0.026,61160,12.7,3.9,1.5,61.5,88.6,32.3,202930.8519
NC,2018,10044400,0.629,0.209,0.096,0.029,0.01,<.01,0.027,53370,13.1,4,1.5,61.2,88.2,31.9,191202.4868
NC,2017,9948800,0.631,0.21,0.094,0.028,0.011,<.01,0.026,50340,14.5,4.5,2,61.4,87.8,31.3,179093.9646
NC,2016,9829900,0.636,0.211,0.092,0.027,0.011,<.01,0.023,53760,13.6,5.1,2.4,61.2,87.3,30.4,169005.4652
ND,2022,744000,0.828,0.026,0.044,0.012,0.039,N/A,0.048,78720,9.7,2,0.6,69.1,93.9,31.8,254157.7343
ND,2021,741600,0.827,0.029,0.039,0.014,0.043,N/A,0.044,68880,8.5,3,1.5,68.5,93.6,31.7,237343.6645
ND,2020,0,0,0,0,0,0,0,0,64120,10.7,5,0.9,68.9,93.5,31.8,226657.0482
ND,2019,731000,0.841,0.024,0.04,0.014,0.052,N/A,0.026,70030,8.1,2.1,0.6,69.9,93.5,30.4,219687.756
ND,2018,730600,0.839,0.03,0.035,0.02,0.051,N/A,0.024,66510,9.7,2.4,0.7,69.8,92.3,29.7,217442.1735
ND,2017,726000,0.847,0.029,0.034,0.017,0.056,N/A,0.017,59890,11.3,2.6,0.8,70.7,92.9,30.7,221350.3624
ND,2016,725900,0.854,0.026,0.031,0.01,0.057,N/A,0.024,60180,11.1,3.1,0.9,70.9,92.4,29.6,224900.4795
OH,2022,11455600,0.763,0.118,0.044,0.025,0.001,0,0.049,67520,9.9,4,1.5,61.5,91.8,32,205121.0655
OH,2021,11455700,0.767,0.115,0.043,0.024,0.001,0.001,0.049,62690,11.6,5.2,2.4,61.4,91.7,30.7,185549.1061
OH,2020,0,0,0,0,0,0,0,0,60380,12.7,8.3,1.6,61.6,91.5,30.6,162606.8862
OH,2019,11351500,0.786,0.122,0.04,0.023,0.001,N/A,0.028,64660,12.4,4.2,1.2,63.3,90.8,29.3,151783.4084
OH,2018,11355900,0.788,0.121,0.038,0.023,<.01,N/A,0.028,61630,11.9,4.5,1.5,62.8,90.7,29,142975.0506
OH,2017,11323500,0.792,0.12,0.037,0.022,<.01,<.01,0.028,59770,12.7,5,2,63,90.3,28,134549.3079
OH,2016,11278700,0.796,0.121,0.036,0.02,<.01,<.01,0.026,53990,13.7,5.1,1.9,62.8,90,27.5,128274.7403
OK,2022,3881900,0.628,0.065,0.122,0.023,0.069,N/A,0.092,63440,16.9,3,1.3,61.7,89.6,28.5,189204.6648
OK,2021,3858600,0.629,0.065,0.119,0.023,0.069,0.001,0.093,60100,15.1,4,2,61.1,88.7,27.9,166334.8357
OK,2020,0,0,0,0,0,0,0,0,52470,15.5,6.3,1.3,60.8,89.2,27,146439.8712
OK,2019,3826900,0.65,0.069,0.111,0.021,0.077,0.001,0.071,59400,10.8,3.1,1.2,61.2,88.4,26.2,136523.4446
OK,2018,3816100,0.653,0.07,0.109,0.021,0.076,<.01,0.072,54430,13.4,3.3,1.3,61.1,88.4,25.6,130984.7924
OK,2017,3803700,0.659,0.069,0.105,0.021,0.074,<.01,0.071,55010,12.6,4,1.7,61.2,88.1,25.5,126374.7562
OK,2016,3800800,0.663,0.069,0.103,0.019,0.072,<.01,0.072,50940,14.6,4.7,1.8,61.1,87.8,25.2,123018.3421
OR,2022,4159500,0.718,0.017,0.144,0.045,0.007,0.004,0.065,86780,9.9,3.9,1.6,62.5,91.6,36.3,496733.323
OR,2021,4163500,0.721,0.018,0.14,0.045,0.007,0.004,0.065,81850,9.2,5.2,3.2,62.1,91.9,36.3,444419.1905
OR,2020,0,0,0,0,0,0,0,0,76850,9.4,7.6,1.7,61.4,91.9,36.3,379437.8773
OR,2019,4128900,0.75,0.018,0.134,0.047,0.009,0.003,0.04,74410,8.1,3.7,1.3,61.5,91.4,34.5,357568.7182
OR,2018,4110800,0.752,0.018,0.133,0.046,0.01,<.01,0.038,69170,9.7,4,1.3,61.8,90.5,34,344125.2532
OR,2017,4063000,0.758,0.017,0.13,0.045,0.01,<.01,0.038,64610,10.2,4.1,1.4,62.4,91,33.7,321815.2337
OR,2016,4014500,0.763,0.017,0.127,0.042,0.01,<.01,0.037,59140,11.8,4.8,1.6,62.3,90.3,32.7,293495.9521
PA,2022,12544400,0.733,0.098,0.087,0.037,0.001,N/A,0.045,72210,10.9,4.1,2,61.8,92.2,35.1,247174.4106
PA,2021,12564000,0.739,0.097,0.084,0.037,0.001,N/A,0.043,72630,10.8,5.9,3.8,61.5,91.9,34.5,226270.9846
PA,2020,0,0,0,0,0,0,0,0,70790,10.7,8.9,2.4,62.3,91.6,34,200400.766
PA,2019,12377600,0.76,0.104,0.078,0.035,0.001,<.01,0.023,70580,8.7,4.3,1.5,63.2,91,32.3,187792.248
PA,2018,12388100,0.763,0.103,0.076,0.035,<.01,N/A,0.022,64520,11.8,4.4,1.7,62.7,91,31.8,180184.7427
PA,2017,12389100,0.767,0.105,0.073,0.034,<.01,N/A,0.02,63170,11.2,5,2.1,62.6,90.6,31.4,171916.2274
PA,2016,12364700,0.773,0.103,0.07,0.033,<.01,<.01,0.02,60980,11.1,5.3,2.1,63.1,90.1,30.8,165788.6943
RI,2022,1048800,0.68,0.045,0.179,0.032,N/A,N/A,0.062,80650,8.4,6,1.7,63.7,90.5,39.6,407270.5413
RI,2021,1050300,0.689,0.043,0.174,0.03,0.002,N/A,0.06,74980,9.4,8,3.7,63.8,89.1,36.5,363368.6169
RI,2020,0,0,0,0,0,0,0,0,80170,8.5,8.8,2.1,63.7,90.1,38,312834.2895
RI,2019,1017100,0.705,0.059,0.166,0.033,0.002,N/A,0.033,70150,9.2,8.3,1.5,64.4,89.3,34.8,293561.8576
RI,2018,1014000,0.715,0.056,0.16,0.034,N/A,N/A,0.031,62270,8.9,9.2,1.7,64.5,89.1,34.4,283383.7206
RI,2017,1015900,0.722,0.054,0.155,0.035,<.01,N/A,0.03,66390,12.2,10.9,2,64.4,88.3,33.5,264991.8665
RI,2016,1013900,0.728,0.056,0.151,0.033,<.01,N/A,0.028,61530,11.4,11.8,2.6,64.5,88.5,34.1,246941.0804
SC,2022,5117400,0.628,0.247,0.064,0.017,0.002,N/A,0.041,61770,12.9,3.2,1.5,57.1,90.5,32.6,274216.2739
SC,2021,5040600,0.628,0.247,0.063,0.016,0.002,N/A,0.043,62540,13.7,5.5,2.2,57.5,89.6,31.5,232083.0341
SC,2020,0,0,0,0,0,0,0,0,60340,13.4,9.2,1.4,57.7,89.4,31.7,201628.277
SC,2019,4984200,0.637,0.262,0.057,0.017,0.003,N/A,0.022,62030,15.1,3.5,1.2,58.3,88.3,29.6,188719.9964
SC,2018,4929800,0.638,0.263,0.058,0.016,<.01,N/A,0.022,57440,12.8,4,1.6,57.8,88.4,28.3,179330.0578
SC,2017,4864600,0.64,0.267,0.056,0.015,<.01,N/A,0.02,54970,15.6,4.5,1.8,58,87.4,28,169454.5192
SC,2016,4805300,0.64,0.267,0.055,0.015,<.01,N/A,0.021,54340,14.1,5.2,2.3,58.8,86.6,27.2,161701.4455
SD,2022,873400,0.801,0.019,0.046,0.014,0.072,N/A,0.045,67180,9.1,3.2,0.5,68.4,93.2,31.6,290866.7045
SD,2021,863800,0.802,0.02,0.04,0.015,0.076,N/A,0.045,73890,8.4,3.9,1.1,68.8,93.1,31.7,251845.9953
SD,2020,0,0,0,0,0,0,0,0,70190,11.6,6,1.3,68.9,92.2,28.4,221331.476
SD,2019,851300,0.819,0.022,0.037,0.013,0.084,N/A,0.024,64260,10.6,2.8,1,69.4,92.1,29.7,208272.3938
SD,2018,848700,0.816,0.022,0.038,0.013,0.086,N/A,0.025,59460,10.6,3.4,1,69.2,92.3,29.2,198422.3604
SD,2017,837000,0.825,0.021,0.036,0.013,0.084,N/A,0.022,56890,10.4,4.2,1,69.1,91.7,28.1,189437.6255
SD,2016,835800,0.827,0.013,0.037,0.015,0.087,N/A,0.02,57450,14.5,4.9,0.8,69.5,91.2,28.9,181737.2332
TN,2022,6875900,0.721,0.152,0.063,0.019,0.001,0.001,0.044,65380,10.5,2,1.3,60.4,90.4,31.1,297733.91
TN,2021,6796100,0.723,0.151,0.06,0.017,0.001,N/A,0.048,62170,10.6,2.6,2.4,60.5,89.7,30.5,249966.9271
TN,2020,0,0,0,0,0,0,0,0,54970,13.1,4.2,1.6,60.5,89.7,30.7,214528.5328
TN,2019,6640900,0.736,0.164,0.057,0.018,0.003,N/A,0.022,56630,13.1,2.8,1,61.9,88,28.7,197744.8719
TN,2018,6586400,0.738,0.165,0.055,0.017,<.01,N/A,0.022,56060,12,2.8,1,61,87.8,27.5,184810.4038
TN,2017,6538200,0.741,0.164,0.054,0.018,<.01,N/A,0.021,55240,11.5,3.1,1.5,60.5,87.8,27.3,172208.9585
TN,2016,6467700,0.744,0.164,0.052,0.018,<.01,N/A,0.019,51340,14.9,3,1.9,60.2,87,26.1,160104.0511
TX,2022,29322500,0.389,0.115,0.405,0.054,0.001,0.001,0.036,74640,13.5,3.4,1.6,64.1,86.1,33.9,298431.8276
TX,2021,28845300,0.393,0.114,0.404,0.052,0.002,0.001,0.035,67400,13.5,4.5,3.2,63.6,85.4,33.1,253290.688
TX,2020,0,0,0,0,0,0,0,0,68400,14,7.5,1.7,63,85.8,33.2,220966.253
TX,2019,28286200,0.411,0.117,0.4,0.05,0.003,0.001,0.019,67440,11.1,3.3,1.1,64,84.6,30.8,209784.662
TX,2018,28024000,0.414,0.116,0.398,0.05,<.01,<.01,0.019,59790,13.7,3.5,1.4,63.9,84,30.3,200646.5253
TX,2017,27621300,0.419,0.116,0.397,0.048,<.01,<.01,0.018,59300,13.4,3.8,1.7,63.8,83.6,29.6,188880.9498
TX,2016,27178300,0.425,0.115,0.393,0.047,<.01,<.01,0.018,58150,13.8,4.8,1.7,63.9,82.9,28.9,177245.5816
UT,2022,3321500,0.756,0.01,0.152,0.026,0.007,0.011,0.039,95800,6,3.9,0.6,68.8,93,37.9,527624.7927
UT,2021,3281800,0.76,0.01,0.147,0.025,0.006,0.008,0.044,87650,7.9,5.6,1.2,68,93.2,36.8,450383.8708
UT,2020,0,0,0,0,0,0,0,0,83990,7.4,7.7,0.8,68,94,36.9,366694.0076
UT,2019,3154100,0.778,0.01,0.144,0.023,0.01,0.008,0.027,84520,7.3,3.5,0.7,68.5,93,34.8,336610.8071
UT,2018,3105900,0.78,0.012,0.141,0.023,0.01,0.01,0.026,77070,6.9,3.9,0.7,68.5,92.4,34.9,312339.5735
UT,2017,3047400,0.785,0.011,0.14,0.024,0.01,0.01,0.023,71320,8.6,4.3,1.1,68.8,92.1,34.6,285466.6319
UT,2016,2999300,0.788,0.01,0.138,0.024,0.01,0.01,0.024,67480,8.6,4.7,1.2,68.4,91.7,32.6,262777.5188
VT,2022,624300,0.904,0.008,0.022,0.015,N/A,N/A,0.049,72190,9,2.4,1,63.6,95,44.2,363019.3169
VT,2021,619700,0.906,0.011,0.02,0.018,N/A,N/A,0.044,76080,7.5,2.8,2.1,62.4,94.5,44.4,320137.2335
VT,2020,0,0,0,0,0,0,0,0,67260,8.6,4.8,1,63.6,94.2,42.1,277080.2746
VT,2019,598100,0.928,0.011,0.018,0.016,0.007,N/A,0.02,74310,8.6,2.5,0.5,66.4,93.1,38.7,262325.7031
VT,2018,600600,0.929,0.011,0.018,0.019,<.01,N/A,0.019,70070,9.7,2.9,0.9,67,93.5,38.7,255729.6967
VT,2017,600200,0.931,0.012,0.017,0.017,N/A,N/A,0.02,63810,10.2,3.2,1,67.3,92.6,38.3,245043.4988
VT,2016,599600,0.935,0.01,0.019,0.011,0.01,N/A,0.023,60840,9.6,3.4,0.9,67.1,92.1,36.4,234555.1117
VA,2022,8332800,0.589,0.182,0.104,0.07,0.001,0.001,0.054,85170,8.3,2.3,1.1,65,91.5,42.2,355529.9821
VA,2021,8305000,0.595,0.177,0.102,0.068,0.002,0.001,0.056,80270,9.8,3.6,2.5,63.6,91.4,41.8,323129.4257
VA,2020,0,0,0,0,0,0,0,0,82210,7.8,5.7,1.5,64.2,91.4,42,287445.5725
VA,2019,8185100,0.613,0.189,0.096,0.067,0.002,<.01,0.033,81310,8.8,2.1,1,65.8,90,39.6,271844.5169
VA,2018,8182100,0.615,0.186,0.095,0.066,<.01,<.01,0.036,77150,9.8,2.5,1,65.3,89.9,39.3,262096.8427
VA,2017,8140700,0.619,0.185,0.093,0.066,<.01,<.01,0.035,71290,10.3,3,1.5,65.7,89.7,38.7,252704.6926
VA,2016,8080900,0.623,0.185,0.091,0.064,<.01,<.01,0.034,66450,11.4,3.1,1.7,65,89.3,38.1,244112.756
WA,2022,7602300,0.636,0.038,0.14,0.098,0.009,0.006,0.073,89430,9,2.8,1.8,64,92.2,39.5,581736.2384
WA,2021,7552200,0.646,0.037,0.136,0.094,0.007,0.006,0.073,87650,7.7,3.9,3,63,92.3,39,511119.2962
WA,2020,0,0,0,0,0,0,0,0,81360,8.2,6.5,2,63.7,92.1,38.4,429989.6745
WA,2019,7423900,0.675,0.038,0.13,0.089,0.011,0.006,0.05,82450,7,2.8,1.4,65.7,91.7,37,395550.8636
WA,2018,7368000,0.679,0.037,0.129,0.088,0.011,0.01,0.05,79730,8.6,3,1.7,64.2,91.6,36.7,375950.1166
WA,2017,7239800,0.687,0.034,0.127,0.085,0.01,0.01,0.051,75420,9.9,3.7,1.7,63.7,91.3,35.5,340521.3649
WA,2016,7124100,0.695,0.034,0.124,0.081,0.011,0.01,0.049,70310,11,4,2,63.7,90.8,35.1,306855.0345
WV,2022,1718800,0.904,0.029,0.019,0.007,N/A,N/A,0.04,52460,15.5,4.1,1.7,54.4,89.1,24.8,152622.346
WV,2021,1733000,0.906,0.025,0.017,0.008,N/A,N/A,0.043,46840,16.9,5.2,3,53.8,88.8,24.1,140478.1797
WV,2020,0,0,0,0,0,0,0,0,51970,14.2,8.5,2.4,53.8,89.1,23.1,123764.9317
WV,2019,1739000,0.925,0.032,0.014,0.008,0.002,N/A,0.018,53710,13.9,4.2,1.8,54.7,87.1,21.1,118521.2225
WV,2018,1752300,0.925,0.036,0.013,0.008,<.01,N/A,0.018,50570,15.9,4.4,2,54.4,87.8,21.3,115875.9069
WV,2017,1762100,0.926,0.037,0.012,0.01,<.01,N/A,0.016,45390,17.3,4.6,2.4,53.5,87.1,20.2,112069.1212
WV,2016,1781700,0.924,0.034,0.014,0.01,<.01,N/A,0.019,44350,18,5.2,2.8,53.3,86,20.8,111124.9657
WI,2022,5757500,0.791,0.057,0.076,0.029,0.006,N/A,0.041,73330,6.6,3.9,1.1,65.5,93.5,33.2,271266.0682
WI,2021,5754400,0.793,0.058,0.075,0.03,0.005,N/A,0.039,69940,9.3,5.2,2.2,66.1,93.3,32.5,247049.3372
WI,2020,0,0,0,0,0,0,0,0,67410,8,8.3,1.4,66.1,93.1,31.8,218548.4436
WI,2019,5677100,0.811,0.062,0.071,0.03,0.007,N/A,0.02,67350,8.4,4.9,0.9,66.8,92.8,31.3,204646.6924
WI,2018,5662800,0.812,0.062,0.07,0.028,0.01,<.01,0.021,62630,8.6,5.2,1,67.3,92.1,30,192541.3011
WI,2017,5643000,0.815,0.058,0.068,0.03,0.01,N/A,0.021,63450,9.5,5.2,1.2,68,92.4,30.4,181046.323
WI,2016,5623300,0.819,0.06,0.067,0.027,0.01,N/A,0.019,59820,10.7,6.1,1.7,68.1,91.9,29.5,171104.8284
WY,2022,565300,0.819,0.007,0.109,0.006,0.016,N/A,0.043,73090,7.1,2.9,1.4,64,93.7,29.6,326797.5156
WY,2021,563500,0.813,0.009,0.106,0.007,0.017,N/A,0.048,71050,9.4,3.9,2,63.7,93.6,29.2,295169.9944
WY,2020,0,0,0,0,0,0,0,0,65450,9.7,6.5,1.6,65.3,93.8,28.2,268151.0379
WY,2019,562700,0.838,0.01,0.101,0.006,0.022,N/A,0.021,65130,9.2,3.2,0.9,65.7,94.5,29.1,251972.9787
WY,2018,560300,0.842,0.005,0.1,0.011,0.023,N/A,0.02,62540,9.5,3,1.1,65.6,93.3,26.9,241117.5729
WY,2017,563300,0.842,0.01,0.1,0.01,0.022,N/A,0.02,57840,12.4,3.3,1.6,65.9,92.9,27.6,237261.1127
WY,2016,569400,0.847,0.01,0.096,0.01,0.023,N/A,0.018,57830,10.9,3.9,1.6,66.6,93.2,27.1,236396.9848
